department,commodity_desc,line_items,total_units,total_sales_value,avg_line_value
MEAT,BEEF,48726,65576.0,312103.22,6.41
GROCERY,FLUID MILK PRODUCTS,85630,116192.0,205356.05,2.4
GROCERY,CHEESE,74885,96402.0,189528.18,2.53
GROCERY,FRZN MEAT/MEAT DINNERS,56064,79391.0,160517.17,2.86
GROCERY,FROZEN PIZZA,43362,67225.0,146037.25,3.37
GROCERY,BAKED BREAD/BUNS/ROLLS,83232,99713.0,145930.85,1.75
DELI,DELI MEATS,25203,26186.0,106539.94,4.23
MEAT,CHICKEN,17762,26042.0,94342.85,5.31
MEAT-PCKGD,LUNCHMEAT,35161,46290.0,93064.24,2.65
MEAT,PORK,14221,18235.0,90263.36,6.35
GROCERY,REFRGRATD JUICES/DRNKS,31469,37668.0,72179.2,2.29
MEAT-PCKGD,MEAT - MISC,9452,11315.0,65837.6,6.97
GROCERY,YOGURT,44697,74032.0,59341.22,1.33
GROCERY,BAKED SWEET GOODS,27853,31512.0,55091.48,1.98
DELI,CHEESES,13914,14420.0,52299.0,3.76
MEAT-PCKGD,FROZEN MEAT,10205,12586.0,50911.02,4.99
SEAFOOD-PCKGD,SEAFOOD - FROZEN,7822,9959.0,50560.98,6.46
MEAT-PCKGD,BREAKFAST SAUSAGE/SANDWICHES,12958,17224.0,46085.22,3.56
MEAT-PCKGD,BACON,11518,15981.0,45436.41,3.94
PRODUCE,POTATOES,16254,19074.0,45169.62,2.78
