department,commodity_desc,total_sales_value,coefficient_of_variation,revenue_score,volatility_score,priority_score
MEAT,TURKEY,21258.67,1.7,0.068,1.0,0.534
MEAT,BEEF,312103.22,0.274,1.0,0.01,0.505
FLORAL,ROSES,7425.27,1.488,0.024,0.853,0.438
PRODUCE,STONE FRUIT,16629.0,1.326,0.053,0.74,0.397
FLORAL,FLORAL- HARD GOODS,1773.16,1.372,0.005,0.772,0.389
GROCERY,FLUID MILK PRODUCTS,205356.05,0.272,0.658,0.009,0.333
FLORAL,FLORAL-FLOWERING PLANTS,4490.84,1.148,0.014,0.617,0.316
SEAFOOD,MEAT SUPPLIES,201.95,1.152,0.0,0.62,0.31
GROCERY,CHEESE,189528.18,0.278,0.607,0.013,0.31
MEAT,SMOKED MEATS,27126.22,0.962,0.087,0.488,0.287
PRODUCE,SEASONAL,1541.26,1.067,0.005,0.561,0.283
GROCERY,FROZEN CHICKEN,4201.64,1.045,0.013,0.545,0.279
GROCERY,FRZN MEAT/MEAT DINNERS,160517.17,0.304,0.514,0.031,0.273
PRODUCE,CORN,5435.38,1.017,0.017,0.526,0.272
PRODUCE,MELONS,14194.82,0.965,0.045,0.49,0.268
MEAT,EXOTIC GAME/FOWL,1387.16,0.994,0.004,0.51,0.257
FLORAL,FLORAL-ACCESSORIES,604.15,0.994,0.002,0.51,0.256
GROCERY,FROZEN PIZZA,146037.25,0.303,0.468,0.031,0.249
PASTRY,BAKERY PARTY TRAYS,972.43,0.957,0.003,0.484,0.244
DELI,PARTY TRAYS,6698.49,0.915,0.021,0.455,0.238
