department,commodity_desc,week_no,weekly_sales_value
DAIRY DELI,EGGS,35,5.7
DAIRY DELI,EGGS,36,29.18
DAIRY DELI,EGGS,37,19.9
DAIRY DELI,EGGS,38,9.29
DAIRY DELI,EGGS,39,3.38
DAIRY DELI,MILK BY-PRODUCTS,18,5.78
DELI,CHEESES,1,53.47
DELI,CHEESES,2,90.63
DELI,CHEESES,3,63.13
DELI,CHEESES,4,120.88
DELI,CHEESES,5,128.94
DELI,CHEESES,6,157.64
DELI,CHEESES,7,158.89
DELI,CHEESES,8,198.22
DELI,CHEESES,9,174.93
DELI,CHEESES,10,274.98
DELI,CHEESES,11,398.93
DELI,CHEESES,12,317.78
DELI,CHEESES,13,364.31
DELI,CHEESES,14,372.87
DELI,CHEESES,15,480.86
DELI,CHEESES,16,500.39
DELI,CHEESES,17,478.23
DELI,CHEESES,18,489.15
DELI,CHEESES,19,431.92
DELI,CHEESES,20,540.45
DELI,CHEESES,21,466.62
DELI,CHEESES,22,419.73
DELI,CHEESES,23,561.19
DELI,CHEESES,24,606.11
DELI,CHEESES,25,507.5
DELI,CHEESES,26,479.23
DELI,CHEESES,27,559.31
DELI,CHEESES,28,540.02
DELI,CHEESES,29,454.14
DELI,CHEESES,30,497.04
DELI,CHEESES,31,432.11
DELI,CHEESES,32,567.9
DELI,CHEESES,33,547.07
DELI,CHEESES,34,507.85
DELI,CHEESES,35,612.35
DELI,CHEESES,36,513.76
DELI,CHEESES,37,604.59
DELI,CHEESES,38,512.55
DELI,CHEESES,39,558.95
DELI,CHEESES,40,837.86
DELI,CHEESES,41,572.36
DELI,CHEESES,42,538.1
DELI,CHEESES,43,589.6
DELI,CHEESES,44,553.46
DELI,CHEESES,45,549.46
DELI,CHEESES,46,631.97
DELI,CHEESES,47,515.96
DELI,CHEESES,48,489.85
DELI,CHEESES,49,514.87
DELI,CHEESES,50,534.43
DELI,CHEESES,51,628.22
DELI,CHEESES,52,483.37
DELI,CHEESES,53,493.05
DELI,CHEESES,54,501.88
DELI,CHEESES,55,474.91
DELI,CHEESES,56,588.31
DELI,CHEESES,57,581.03
DELI,CHEESES,58,515.52
DELI,CHEESES,59,566.7
DELI,CHEESES,60,494.71
DELI,CHEESES,61,566.86
DELI,CHEESES,62,518.32
DELI,CHEESES,63,635.45
DELI,CHEESES,64,497.26
DELI,CHEESES,65,493.4
DELI,CHEESES,66,486.22
DELI,CHEESES,67,647.21
DELI,CHEESES,68,567.29
DELI,CHEESES,69,581.0
DELI,CHEESES,70,619.91
DELI,CHEESES,71,676.15
DELI,CHEESES,72,702.35
DELI,CHEESES,73,551.44
DELI,CHEESES,74,661.95
DELI,CHEESES,75,583.86
DELI,CHEESES,76,598.92
DELI,CHEESES,77,552.0
DELI,CHEESES,78,573.65
DELI,CHEESES,79,569.03
DELI,CHEESES,80,532.64
DELI,CHEESES,81,660.15
DELI,CHEESES,82,430.79
DELI,CHEESES,83,494.21
DELI,CHEESES,84,581.29
DELI,CHEESES,85,647.98
DELI,CHEESES,86,634.87
DELI,CHEESES,87,704.14
DELI,CHEESES,88,465.72
DELI,CHEESES,89,604.25
DELI,CHEESES,90,587.06
DELI,CHEESES,91,603.98
DELI,CHEESES,92,899.02
DELI,CHEESES,93,757.37
DELI,CHEESES,94,577.99
DELI,CHEESES,95,559.28
DELI,CHEESES,96,706.21
DELI,CHEESES,97,613.04
DELI,CHEESES,98,652.45
DELI,CHEESES,99,634.55
DELI,CHEESES,100,605.05
DELI,CHEESES,101,544.15
DELI,CHEESES,102,320.3
DELI,CHICKEN/POULTRY,1,18.17
DELI,CHICKEN/POULTRY,2,44.51
DELI,CHICKEN/POULTRY,3,103.86
DELI,CHICKEN/POULTRY,4,76.08
DELI,CHICKEN/POULTRY,5,109.52
DELI,CHICKEN/POULTRY,6,125.24
DELI,CHICKEN/POULTRY,7,96.54
DELI,CHICKEN/POULTRY,8,141.52
DELI,CHICKEN/POULTRY,9,141.59
DELI,CHICKEN/POULTRY,10,194.55
DELI,CHICKEN/POULTRY,11,241.84
DELI,CHICKEN/POULTRY,12,258.77
DELI,CHICKEN/POULTRY,13,546.49
DELI,CHICKEN/POULTRY,14,338.28
