department,commodity_desc,weeks_with_sales,avg_weekly_sales,stddev_weekly_sales,coefficient_of_variation
MEAT,TURKEY,102,208.42,354.23,1.7
FLORAL,ROSES,97,76.55,113.93,1.488
FLORAL,FLORAL- HARD GOODS,86,20.62,28.28,1.372
PRODUCE,STONE FRUIT,99,167.97,222.73,1.326
SEAFOOD,MEAT SUPPLIES,24,8.41,9.7,1.152
FLORAL,FLORAL-FLOWERING PLANTS,97,46.3,53.15,1.148
PRODUCE,SEASONAL,22,70.06,74.73,1.067
GROCERY,FROZEN CHICKEN,82,51.24,53.53,1.045
PRODUCE,CORN,94,57.82,58.84,1.017
FLORAL,FLORAL-ACCESSORIES,46,13.13,13.06,0.994
MEAT,EXOTIC GAME/FOWL,68,20.4,20.28,0.994
PRODUCE,MELONS,102,139.16,134.3,0.965
MEAT,SMOKED MEATS,102,265.94,255.79,0.962
PASTRY,BAKERY PARTY TRAYS,65,14.96,14.32,0.957
MEAT,(CORP USE ONLY),47,6.03,5.6,0.929
DELI,PARTY TRAYS,94,71.26,65.22,0.915
FROZEN GROCERY,UNKNOWN,89,7.27,6.2,0.854
FLORAL,FLORAL BALLOONS,94,22.24,18.4,0.828
MEAT,VEAL,58,9.28,7.61,0.82
MEAT,LAMB,80,16.34,13.22,0.809
